2023-04-30 01:19:01.828 [main] INFO  com.portal.MainApp - SpringApplication.logStartupProfileInfo:651 - No active profile set, falling back to default profiles: default
2023-04-30 01:19:01.920 [main] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - DeferredLog.logTo:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-30 01:19:03.597 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 9090 (http)
2023-04-30 01:19:03.610 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Initializing ProtocolHandler ["http-nio-9090"]
2023-04-30 01:19:03.611 [main] INFO  org.apache.catalina.core.StandardService - DirectJDKLog.log:173 - Starting service [Tomcat]
2023-04-30 01:19:03.611 [main] INFO  org.apache.catalina.core.StandardEngine - DirectJDKLog.log:173 - Starting Servlet engine: [Apache Tomcat/9.0.36]
2023-04-30 01:19:03.727 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring embedded WebApplicationContext
2023-04-30 01:19:03.727 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - ServletWebServerApplicationContext.prepareWebApplicationContext:285 - Root WebApplicationContext: initialization completed in 1807 ms
2023-04-30 01:19:04.015 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - ExecutorConfigurationSupport.initialize:181 - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-30 01:19:04.283 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Starting ProtocolHandler ["http-nio-9090"]
2023-04-30 01:19:04.319 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.start:220 - Tomcat started on port(s): 9090 (http) with context path '/noteassets'
2023-04-30 01:19:04.333 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarted:61 - Started MainApp in 3.09 seconds (JVM running for 3.93)
2023-04-30 01:19:12.401 [http-nio-9090-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-30 01:19:12.402 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:525 - Initializing Servlet 'dispatcherServlet'
2023-04-30 01:19:12.412 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:547 - Completed initialization in 10 ms
2023-04-30 01:19:12.468 [http-nio-9090-exec-1] WARN  org.springframework.web.servlet.resource.ResourceHttpRequestHandler - ResourceHttpRequestHandler.isInvalidPath:671 - Path with "WEB-INF" or "META-INF": [WEB-INF/views/index.jsp]
2023-04-30 01:23:55.653 [main] INFO  com.portal.MainApp - MainApp.main:38 - contex :: /noteassets
2023-04-30 01:23:55.656 [main] INFO  com.portal.MainApp - MainApp.test:49 - ****************** Test ***************
2023-04-30 01:23:55.943 [main] INFO  org.springframework.boot.devtools.restart.RestartApplicationListener - RestartApplicationListener.onApplicationStartingEvent:77 - Restart disabled due to System property 'spring.devtools.restart.enabled' being set to false
2023-04-30 01:23:56.535 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarting:55 - Starting MainApp on DESKTOP-EVVDSQV with PID 9084 (D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal\target\classes started by Maddy in D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal)
2023-04-30 01:23:56.536 [main] INFO  com.portal.MainApp - SpringApplication.logStartupProfileInfo:651 - No active profile set, falling back to default profiles: default
2023-04-30 01:23:56.628 [main] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - DeferredLog.logTo:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-30 01:23:58.327 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 9090 (http)
2023-04-30 01:23:58.343 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Initializing ProtocolHandler ["http-nio-9090"]
2023-04-30 01:23:58.344 [main] INFO  org.apache.catalina.core.StandardService - DirectJDKLog.log:173 - Starting service [Tomcat]
2023-04-30 01:23:58.345 [main] INFO  org.apache.catalina.core.StandardEngine - DirectJDKLog.log:173 - Starting Servlet engine: [Apache Tomcat/9.0.36]
